T,V,P,RH,E
375.96,434.58,91.55,39.68,1726
401.96,357.42,91.9,37.46,1763.84
304.07,411.06,92.1,47.16,1753.4
388.31,443.46,91.32,44.58,1727.2
358.02,409.62,91.65,33.85,1732
173.16,269.4,91.61,47.18,1865.2
377.39,417.06,91.8,28.22,1740.36
180.44,234.96,91.89,45.41,1857.48
218.01,253.68,91.59,43.91,1862.08
319.8,406.14,91.7,40.61,1760.88
257.66,279.78,92.11,52.26,1825.44
275.99,408.48,92.07,44.74,1781.64
292.11,356.58,91.46,51.13,1778
182.39,294.9,92.77,50.19,1868.64
310.57,300.96,91.35,44.36,1779.96
216.32,269.4,92.82,42.2,1843.72
193.31,250.56,92.93,46.93,1859.36
389.09,416.88,91.75,32.75,1723
356.59,383.22,92.51,26,1770.84
182.13,233.46,92.35,41.54,1880.4
160.16,247.56,92.95,47.84,1881.08
355.55,467.7,92.49,44.02,1750.44
298.87,377.76,92.69,39.03,1797.6
323.7,403.5,92.52,39.7,1734.84
100.36,246.84,93.19,58.05,1913.36
265.85,290.46,91.89,52.02,1778.76
241.67,390.36,92.34,48.43,1801.6
265.33,301.92,91.68,55.87,1788.24
402.48,386.64,92.15,29.78,1750.44
265.46,377.76,92.76,50.4,1808.32
119.99,237.96,92.68,45.67,1927.08
349.05,453.6,92.49,44.73,1733.92
280.15,267.48,92.47,27.98,1857.76
213.85,379.86,92.36,50.38,1809.68
352.82,427.92,91.62,52.79,1727.84
382.98,431.64,91.54,37.36,1714.16
315.25,304.68,91.71,36.33,1775.2
138.19,265.2,92.6,54.16,1908.76
400.66,473.22,92.01,42.41,1728.04
334.88,392.88,92.53,32.86,1764.56
193.18,227.1,91.87,52.08,1870.84
382.98,295.8,91.26,32.46,1745.48
372.06,418.26,91.79,37.27,1750.08
368.03,394.26,92.24,35.57,1789.04
116.48,240.12,93.75,49.39,1901.88
103.35,247.56,91.68,58.75,1922.4
312,348.3,91.93,44.59,1788.64
353.6,467.7,91.77,47.12,1733.56
329.03,298.92,92.24,37.29,1812.2
248.69,253.08,91.04,59.26,1824.16
175.5,325.8,92.38,46.48,1875.68
359.58,461.16,91.03,41.68,1746.56
94.12,247.02,92.76,48.34,1947.04
97.11,243.84,92.77,56.88,1912.32
268.45,345,92.37,52.47,1792.88
272.48,416.88,91.91,49.58,1777.24
353.99,294.96,91.28,24.48,1775.12
333.84,409.62,91.64,41.09,1739.56
187.33,244.98,91.8,48.26,1880.52
105.82,239.76,93.04,53.32,1908.2
277.94,264.3,91.43,49,1782.84
307.97,382.62,92.13,47.7,1776.28
340.6,426.84,91.63,43.77,1726.8
325.52,383.16,92.63,31.67,1766.4
80.47,247.86,91.13,53.28,1940.32
155.35,252.18,92.51,54.53,1860.8
323.44,308.58,91.93,40.43,1764.12
357.63,427.92,91.6,48.01,1732.64
240.24,300.96,91.95,59.95,1808.24
386.36,431.82,91.69,47.55,1724.88
122.85,248.4,93.39,52,1901.96
236.47,251.1,92.27,36.82,1867.44
160.68,288.24,92.07,56.15,1873.48
188.63,269.04,93.02,49.4,1860.36
248.69,304.68,91.68,52.52,1788.12
202.93,231.12,92.58,48.59,1756.84
288.47,362.22,91.68,55.46,1763
89.31,239.1,92.06,50,1945.04
245.83,355.26,92.52,54.29,1800.96
263.38,301.92,91.8,55.87,1793.6
192.27,246.24,93.21,45.49,1827.88
139.49,152.16,91.76,60.09,1877.72
209.17,268.26,92.53,25.64,1859.8
164.84,270,92.96,46.31,1918.76
203.58,263.94,92.83,53.17,1870.28
260.78,339.18,92.76,45.1,1823.96
231.79,401.16,91.97,46.39,1826.24
134.03,254.94,91.77,47.02,1918.56
355.55,368.82,91.68,42.39,1774.68
235.69,401.16,92.08,47.3,1819.4
333.45,262.62,91.97,27.71,1776.04
159.12,269.52,93.07,52.93,1893.04
142.48,225,92.13,47.72,1884.2
357.89,421.92,91.61,29.59,1734.88
351.13,418.5,91.8,48.77,1770.28
357.63,295.8,91.25,36.76,1748.36
328.9,429.48,91.83,52.42,1735.88
312.13,281.58,92.12,31.34,1793.4
381.81,448.68,91.77,33.39,1736.8
148.07,241.62,91.73,43.88,1899.72
324.35,456.96,91.47,45.7,1749.88
346.19,386.64,92.06,36.71,1768
377,451.98,91.05,42.86,1730.6
169.78,250.68,92.03,33.19,1870.68
304.2,390.36,92.21,40.43,1770.8
291.72,383.16,92.73,38.9,1789.2
445.77,411.06,91.78,19.35,1710.48
135.85,246.06,92.78,56.3,1862.96
181.61,241.44,92.57,53.23,1871.72
166.4,269.4,91.6,39.96,1867.8
348.66,415.38,92.12,30.52,1745.44
412.49,440.52,91.89,37.09,1721.84
339.82,366.12,91.83,40.03,1744.68
294.84,352.92,91.83,49.68,1775.44
213.59,250.74,91.41,46.13,1823.4
307.19,365.58,91.49,49.84,1759.6
196.17,250.56,92.95,45.73,1853.08
113.62,240.18,92.44,56.02,1924.28
146.64,243.3,91.48,58.67,1900.56
130.78,208.14,93.45,43.04,1910.72
153.4,259.32,91.69,46.81,1878.2
80.86,239.1,92,52.13,1774.92
110.63,231,92.12,38.57,1929.56
264.68,360.6,91.93,50.87,1817
337.87,448.02,92.42,50.03,1738.8
189.28,245.34,91.9,47.74,1870.12
295.36,300.3,91.55,52.94,1777.72
186.55,236.34,92.08,49.45,1882.12
139.49,242.1,92.02,53.79,1908.92
230.88,243.3,91.17,44.26,1847.2
332.54,386.7,91.92,36.88,1788.64
290.55,398.64,91.93,39.25,1781.08
231.79,262.32,91.69,47.23,1815.44
383.37,418.26,91.76,33.81,1763.96
429.13,412.02,91.38,30.85,1735.76
353.6,434.58,91.52,48.4,1721.28
187.59,215.1,92.91,46.95,1858.4
326.3,430.62,91.3,49.68,1718.8
400.53,431.82,91.67,45,1722.12
237.9,223.2,92.02,40.85,1881.68
239.98,253.08,91.04,58.57,1834.68
324.74,361.92,92.4,37.87,1785.84
376.61,473.52,91.97,53.1,1723.92
303.81,392.76,92.39,29.18,1788.28
210.99,262.14,92.4,41.34,1864.88
203.32,262.26,93.14,46.99,1850.2
179.14,266.82,93.45,42.65,1868.88
151.06,249.24,92.72,39.86,1911
276.38,301.92,91.67,52.33,1784.88
110.63,253.92,92.28,50.93,1906.4
183.56,257.94,91.56,46.9,1873.8
227.89,253.44,92.45,36.57,1882.52
337.22,463.44,91.63,50.89,1731.52
331.24,390.72,92.37,32.2,1791.4
102.31,257.1,92.02,56.53,1922.16
115.44,217.8,92.3,34.18,1914.8
187.98,322.92,92.41,40.87,1850.4
106.99,246.06,92.99,58.82,1898.08
360.75,392.04,92.25,27.55,1763.32
398.58,442.62,91.19,46.85,1720
108.42,244.62,91.89,54.01,1921.92
333.45,295.8,91.25,41.09,1760.2
198.12,275.22,91.77,51.57,1825.32
308.75,407.4,91.48,42.1,1780.88
238.68,372.6,92.72,47.45,1814
326.82,380.82,92.05,42.16,1775.72
137.67,247.56,91.65,58.96,1899.04
94.9,261.9,92.67,40.57,1931.84
324.22,406.14,91.71,41.38,1756.32
314.86,426.84,91.76,38.72,1755.52
278.98,349.08,91.59,57.2,1776.48
212.81,264,93.15,46.96,1840.56
253.5,390.72,92.32,44.32,1815.96
399.75,441,91.91,32.86,1716.72
342.94,429.48,91.91,48.54,1737.04
263.51,381.36,92.2,51.93,1787.72
212.68,269.28,92.58,45.6,1874.12
276.25,264.3,91.43,49.12,1793.72
394.03,463.44,91.64,40.7,1741.12
139.62,316.5,92.89,45.25,1869.92
327.99,365.04,92.53,33.85,1768.08
75.27,275.22,91.84,57.25,1923.88
400.92,400.5,92.5,24.41,1728.12
193.05,270.06,92.1,51.32,1840.76
125.84,239.76,93.28,59.57,1880.88
406.64,450.48,91.4,29.72,1754.52
321.75,419.34,92.3,49.21,1752.4
365.43,467.7,91.76,43.69,1731.92
148.46,248.28,92.91,36.11,1916.92
107.9,258.78,92.73,49.87,1936.28
202.8,268.08,92.58,51.55,1855.28
365.69,367.5,92.1,37.54,1746.44
408.33,444.96,91.7,41.1,1721.48
307.58,371.16,92.12,49.85,1777.08
325.39,371.16,92.08,48.51,1758.2
379.21,404.7,92.19,28.11,1740.32
117.78,262.74,92.37,48.79,1931.2
299,361.62,92.61,50.55,1768
156.52,240.6,92.22,53.79,1897.12
344.76,463.02,91.7,55.39,1729.92
376.74,375.96,91.74,31.57,1753.8
322.27,453.6,92.46,40.94,1760.2
104.91,260.46,92.37,45.76,1870.24
128.18,246.06,92.59,59.23,1869.48
311.22,372.48,92.95,37.18,1790
200.07,253.68,91.58,48.81,1869.2
131.04,258.84,91.88,51.54,1914.92
249.08,378.54,92.52,54.69,1798.04
360.88,269.34,91.76,30.09,1771.32
326.04,350.94,91.92,38.68,1787.6
327.73,362.22,91.46,43.88,1744.92
324.22,445.98,92.21,45.2,1740.84
405.34,422.16,91.49,34.04,1753.84
238.81,269.34,91.87,52.04,1817.48
319.02,290.46,91.69,44.12,1759.16
328.9,295.8,91.24,41.45,1746.48
220.61,305.4,92.03,49.59,1853.12
376.22,412.02,91.4,45.14,1738.6
245.05,246.6,91.09,37.05,1849.6
136.24,248.28,92.91,39.13,1925.64
137.67,254.94,91.78,46.42,1909.96
130.65,242.76,92.61,40.43,1876.24
331.24,361.74,92.5,30.73,1775.08
292.24,300.3,91.41,49.42,1770.24
229.97,392.76,92.16,40.37,1793.96
222.3,298.14,91.41,49.09,1829.28
295.62,371.22,91.79,33.02,1778.36
279.11,421.92,91.97,53.02,1760
147.03,252.12,91.02,56.92,1885.04
303.03,360.48,92.47,38.61,1810.6
285.22,301.92,91.68,52.19,1779.56
329.29,439.26,91.11,58.34,1733.72
156.39,249.48,92.28,54.26,1856.08
168.87,262.8,93.01,38.79,1867.8
341.38,430.38,91.78,48.04,1723.16
347.62,294.12,91.65,40.55,1752.24
74.62,226.8,92.85,44.68,1963.24
194.87,248.1,91.32,59.34,1867.4
278.85,360.48,92.54,43.62,1805.96
311.48,365.7,92.27,39.14,1785.6
210.86,278.16,92.73,55.04,1842.92
262.99,312.3,92.01,28.49,1830.28
174.46,233.46,92.07,44.29,1888.88
358.67,300.3,91.43,34.22,1751.92
280.41,398.94,92.25,40.91,1820.72
183.69,247.38,90.42,55.81,1871.36
412.23,441,91.88,24.1,1721.8
334.88,426.36,91.63,54.24,1735
127.14,262.8,92.93,41.78,1908.88
401.44,406.98,91.72,32.99,1701.44
274.3,375.96,91.93,50.09,1795.2
116.09,242.76,92.64,42.6,1891.08
166.4,246.96,92.95,51.71,1850.88
176.93,246.96,92.77,45.05,1850.68
296.14,353.76,92.15,34.24,1808.12
163.41,262.8,93.02,34.11,1866.72
297.96,371.4,92.12,46.99,1784.32
267.02,414.3,91.05,47.77,1771.44
341.9,414.3,91.4,25.02,1752.48
216.19,322.92,92.29,39.65,1833.16
203.19,258.12,92.05,24.19,1866.76
94.38,247.32,92.26,58.69,1955
307.06,411.78,92.11,30.34,1789.2
145.73,239.1,92.09,45.33,1922.44
291.2,409.86,91.77,50.1,1787.64
274.3,294.96,91.52,51.65,1771.12
240.89,367.62,92.71,45.13,1818.88
230.1,305.28,92.31,53.74,1827.12
102.31,247.02,92.76,46.66,1944.8
333.97,386.7,92.1,25.2,1803.76
147.68,229.5,92.11,51.7,1894.2
297.18,284.58,91.8,36.92,1810.12
357.11,382.68,92.37,29.08,1786.76
203.58,248.1,91.06,51.76,1854.28
192.01,266.82,93.49,42.71,1857
330.85,343.92,91.97,28.25,1765.2
137.15,251.52,93.64,54.74,1883.8
120.51,252.12,91.3,57.03,1899.72
79.82,236.4,91.93,54.52,1943.76
317.72,414.78,91.92,52.57,1737.36
78.13,214.74,91.93,54.43,1931.16
327.08,282.06,92.27,38.4,1810.56
397.54,420.24,91.85,28.9,1726.36
191.62,262.26,93.12,48.92,1861.96
163.67,238.32,92.52,36.68,1880.72
217.49,351.54,92.27,53.77,1821.2
316.81,393.66,92.23,39.4,1772.52
203.06,245.34,91.55,47.53,1864.6
367.25,343.14,91.64,40.74,1747.96
370.24,325.2,92.1,29.71,1762.2
232.96,303.96,92.06,55.8,1827.36
224.38,298.68,91.58,60.04,1814.16
310.44,325.2,92.07,38.71,1779.88
86.45,244.14,92.74,53.9,1917.4
311.61,267.42,91.58,37.63,1792.68
320.71,408.84,91.36,34.89,1753.6
216.06,239.94,91.55,46.28,1854.96
127.79,231.36,92.49,37.68,1921.88
411.71,418.08,92.03,27.91,1758.88
249.6,325.2,91.95,50.66,1803
184.86,253.92,92.32,46.34,1860
334.36,448.02,92.42,45.56,1739.32
204.88,269.34,91.85,51.04,1838.68
137.54,254.04,92.94,56.41,1899.64
373.1,429.84,91.56,41.91,1746.32
105.56,258.12,92.14,51.16,1934.2
339.82,437.94,91.59,49.03,1733
364.39,361.38,91.84,39.62,1755.52
439.66,463.02,91.72,35.35,1742.32
276.64,264.3,91.43,49.92,1778.24
132.21,248.76,92.67,49.82,1920.52
230.62,265.2,92.62,35.15,1817.48
391.3,287.58,91.15,25.24,1741.08
240.11,372.6,92.71,49.54,1810.04
366.86,457.2,91.46,37.3,1750.48
295.49,262.74,92.33,25.6,1840.8
328.12,426.84,91.7,47.63,1740.36
399.23,409.44,91.47,20.49,1717.64
182.26,243.96,92.46,50.48,1861.56
170.82,262.26,93.13,52.45,1868.28
323.83,427.74,91.66,41.44,1748.12
338.65,392.28,91.77,31.26,1799.28
229.97,266.04,92.66,36.67,1856.52
170.56,288.24,91.99,60.04,1853.84
352.95,355.26,92.14,31.03,1761.08
206.57,232.38,91.04,44.62,1863.04
308.75,399.24,91.31,51.26,1746.28
217.1,305.28,92.28,58.35,1824.72
166.66,288.84,92.5,48.87,1869.92
266.76,262.74,92.35,40.86,1855.72
279.76,303.96,92.14,44.6,1822.84
391.95,403.92,92.17,19.68,1747.68
202.41,268.08,92.91,54.01,1843.64
302.38,354.84,92.45,45.77,1761.48
358.41,360.42,92.41,32.85,1760.48
258.57,308.58,91.58,55.25,1795.92
328.38,445.98,92.25,47.74,1733.96
150.8,234.6,91.8,60.05,1842.8
285.09,353.76,92.2,35.15,1813.68
372.19,399.36,91.44,38.84,1709.4
355.42,359.22,92.01,35.42,1793.04
334.88,449.22,91.83,39.09,1774.8
241.67,237.24,91.69,41.17,1850.24
175.37,267.78,92.65,42.01,1884.32
381.68,468.3,91.92,38.5,1737.16
208,270.54,92.21,36.01,1833.84
192.01,294.9,92.78,48.16,1870.88
149.24,267.6,92.57,54.46,1881.56
401.83,478.44,91.54,33.79,1735.36
145.99,247.02,92.67,34.11,1903.4
58.37,241.62,92,45.9,1976.96
131.3,241.32,91.55,54.22,1913.72
202.02,235.86,91.79,42.71,1844.24
320.45,431.88,91.5,54.67,1727.08
268.45,250.02,92.07,27.16,1822
324.61,411.66,91.91,33.02,1813.04
127.66,239.76,93.16,58.61,1887.84
350.35,424.8,91.79,49.77,1747.2
210.08,250.74,91.59,45.73,1813.56
397.28,414.84,91.59,42.6,1729.04
166.14,246.24,93.2,51.08,1846.44
284.18,295.26,92.24,31.99,1811.08
405.34,446.04,91.26,38.15,1736.6
145.99,262.02,92.05,43.26,1901.64
238.94,372.6,92.74,46.36,1811.64
242.84,339.9,92.76,48.16,1823.16
199.29,220.26,92.18,44.33,1873.44
128.44,240,92.85,55.24,1926.32
268.58,307.14,91.71,53.36,1788.56
377.39,406.74,91.9,32.42,1780.12
443.95,411.06,91.89,22.21,1720.76
348.4,295.8,91.26,37.65,1754.24
307.84,307.8,91.99,42.74,1806.68
271.18,307.8,92,55.48,1798.68
281.19,365.04,92.56,46.52,1783.72
159.51,247.02,92.67,34.86,1900.52
140.4,237.48,92,52.52,1912.96
338,419.34,92.28,43.84,1734
369.46,451.38,91.84,34.08,1742.56
324.09,414.3,91,51.08,1718.12
252.59,317.4,92.47,40.45,1833.84
298.35,383.64,92.17,48.22,1788.52
295.1,288.84,92.19,36.05,1795.84
375.05,343.14,91.65,35.04,1747.2
63.44,241.62,92.06,44.71,1965.16
199.81,262.02,91.99,54.89,1872.92
176.54,298.98,91.72,52.08,1863.28
337.61,421.92,91.59,34.21,1741.08
305.24,424.74,91.52,53.14,1729
179.14,239.1,92.06,43.19,1899.6
213.72,263.76,92.15,45.79,1874.28
79.17,261.9,92.81,42.69,1943.84
188.11,267.96,92.39,56.11,1857.64
435.5,424.8,91.73,34.34,1732.76
91.65,261.9,92.58,43.42,1921.88
154.7,234.96,92.41,50.75,1911
195.52,228.06,92.95,46.97,1872.48
281.06,292.68,92.73,51.05,1794.08
169.39,237.12,92.43,49.85,1895.96
187.33,277.08,92.39,53.33,1849.96
141.18,269.1,92.2,53.02,1907.48
370.5,427.92,91.14,41.61,1742.8
354.12,400.5,92.53,41.76,1734.6
311.48,307.8,91.98,43.09,1804.44
294.58,409.8,92.52,52.15,1725.08
213.59,288.36,91.88,36.76,1838.52
51.35,230.64,92.43,47.79,1969.84
238.16,399.06,92.29,48.9,1839.56
91.13,226.8,92.86,37.7,1935.8
298.09,378.78,91.96,46.25,1792.08
360.23,446.04,90.74,43.11,1736.8
398.06,388.14,91.48,31.24,1743.36
327.08,259.26,91.98,53.21,1769.16
274.17,279.78,92.09,44.88,1813.36
245.96,281.58,91.81,46.79,1814.64
89.96,247.56,91.92,57.72,1934.44
402.74,404.7,92.29,27.24,1734.36
238.03,277.26,91.86,49.29,1807
313.3,361.74,91.65,37.09,1799.16
213.46,243.36,92.76,30.37,1888.68
296.27,414.78,91.9,54.88,1752.32
281.71,418.26,91.86,58.1,1760.64
100.23,217.5,93.45,53.9,1926.96
151.45,249.24,92.74,40.78,1905.6
205.01,348.96,92.37,49.54,1800.44
125.45,246.18,92.83,38.98,1926.72
280.02,399.24,91.36,55.72,1763.2
338.78,406.98,91.75,39.82,1729.12
309.01,308.58,91.52,50.45,1766.16
366.47,408.48,92.13,26.36,1745.72
129.87,252.42,92.62,51.41,1886.4
130.26,239.76,93.17,58.11,1892.88
186.29,273.06,92.31,42.93,1875.68
256.62,272.28,92.28,48.4,1837.56
175.76,248.64,92.35,39.58,1888.44
262.47,353.16,92.21,42.98,1802.68
323.83,343.02,91.9,43.78,1784.04
117.78,251.52,93.63,54.53,1893.48
403.65,376.2,91.76,33.16,1766.68
155.35,249.48,92.35,53.61,1858.28
254.54,317.4,92.5,38.78,1833.12
229.71,262.2,92.3,35.26,1860.24
329.29,430.38,91.8,46.67,1740.92
366.99,384.3,92,45.14,1769.2
191.49,238.92,92.06,48.49,1881.64
297.18,360.48,92.47,40.27,1809.36
198.77,269.28,92.62,44.2,1853.28
286.13,296.34,92.69,45.48,1807.36
123.89,248.64,92.55,48.05,1927.32
306.28,364.62,92.54,45.8,1772.52
339.95,379.26,92.03,45.86,1764.92
222.69,257.16,92.2,44.16,1852.36
374.66,463.44,91.67,47.36,1734.76
352.3,317.04,91.48,32.31,1756.32
297.44,416.7,92.18,39.08,1767.04
252.33,279.78,92.11,51.77,1810.4
154.96,247.2,92.45,48.74,1904
212.16,258.84,92.25,42.26,1861.52
157.43,229.68,92.14,55.93,1879.72
123.63,262.74,92.37,47.89,1924.48
351,440.52,92.02,52.37,1731.16
260.91,295.26,92.03,34.08,1817
390.13,391.08,92.08,26.37,1747.64
343.07,294.12,91.6,42.49,1754.12
347.75,349.98,92.14,27.28,1776.36
120.51,231.36,92.52,37.49,1901.68
74.23,275.22,92,56.05,1929.96
371.93,408.72,91.97,28.54,1731.76
373.1,294.96,91.31,21.91,1757.8
327.34,345,92.28,36.46,1796.04
320.45,387.78,92.77,32.07,1784.16
300.3,356.58,91.58,51.58,1762.56
181.74,244.26,92.97,43.1,1897.84
146.51,244.14,92.21,51.98,1905.08
272.61,371.22,91.95,39.25,1787.04
301.47,352.92,91.81,48.63,1785.76
327.6,382.56,91.8,38.98,1752.6
414.18,443.28,91.42,34.61,1743.64
163.02,262.14,92.48,50.15,1880.16
140.01,248.64,92.43,45.16,1916.76
215.8,318.96,92.23,46.05,1829.04
143.13,240.3,92.31,53.53,1896.8
160.81,259.32,91.74,45.64,1873.96
251.68,411.66,91.9,56.92,1818
280.93,296.34,92.67,46.92,1797.04
364.13,308.58,91.96,29.52,1799.28
130.26,237.96,92.39,47.99,1920.2
209.95,265.26,92.8,51.25,1848.08
162.11,270.06,92.53,57.15,1868.72
275.21,350.76,92.52,50.39,1786.64
300.43,409.8,92.53,51.97,1751.64
424.71,467.7,92.24,30.44,1729.28
384.15,406.14,91.35,29.21,1715.08
217.75,221.94,91.49,52.31,1856.72
318.63,352.74,92.37,37.02,1774
106.86,250.92,93.89,42.98,1911.44
290.16,422.82,91.91,49.9,1767.48
339.69,343.92,92.02,27.47,1766.4
366.08,424.32,91.8,39.19,1765.48
329.68,449.94,91.11,39.58,1761
103.74,244.62,91.7,59.19,1922.88
289.25,364.62,92.53,49.31,1776.2
328.9,427.74,91.62,37.79,1748.68
162.37,229.5,92.06,49.99,1882.52
327.73,298.92,92.4,37.88,1803
226.72,269.34,91.81,48.32,1830.68
148.98,235.8,92.68,46.12,1902.04
269.88,375.12,92.33,48.62,1806.76
243.75,269.4,91.64,45.46,1811.08
350.48,392.04,92.28,28.16,1767.24
360.23,414.78,91.06,30.87,1730.16
225.42,282.18,92.12,58.88,1855.56
278.07,383.4,92.13,42.57,1797.52
277.16,270.06,92.02,35.96,1811
134.03,267.78,92.78,53.17,1887.12
199.42,244.38,92.55,51.71,1834.2
240.37,246.6,91.08,35.99,1843.04
201.76,221.94,91.53,53.82,1871.6
330.85,445.98,92.32,48.57,1740.48
